#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Grundschule;Gruibingen Grundschule;13233;de:08117:3233;08117028;Gruibingen;Gruibingen;GP;7;Bus;981A;31981a;1;31;9,637034621;48,59392757
Brückenweg;Gruibingen Brückenweg;13234;de:08117:3234;08117028;Gruibingen;Gruibingen;GP;7;"Bus;Nachtbus";981,981A,983A,N96,RTN99;31981_,31981a,31983a,34096_,51099_;5;31,34,51;9,640937511;48,5980965
Kornbergsattel;Gruibingen Kornbergsattel;13235;de:08117:3235;08117028;Gruibingen;Gruibingen;GP;7;Bus;981,981A;31981_,31981a;2;31;9,647177172;48,62271956
Katholische Kirche;Gruibingen Kath. Kirche;13239;de:08117:3239;08117028;Gruibingen;Gruibingen;GP;7;"Bus;Nachtbus";981,981A,RTN99;31981_,31981a,51099_;3;31,51;9,64731191;48,59084865
Hochschule;Göppingen Hochschule;13301;de:08117:3301;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";941,941A,980,980A,981,981A,983A,984A,N94;31941_,31941a,31980_,31980a,31981_,31981a,31983a,31984a,34094_;9;31,34;9,65687636;48,6979149
Dieselstraße;Göppingen Dieselstr.;13302;de:08117:3302;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";981,981A,983,983A,984,984A,N94,N98;31981_,31981a,31983_,31983a,31984_,31984a,34094_,34098_;8;31,34;9,664967887;48,69445126
Heininger-/Jahnstraße;Göpp. Heininger-/Jahnstr.;13303;de:08117:3303;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";981,981A,983,983A,984,984A,N94,N98;31981_,31981a,31983_,31983a,31984_,31984a,34094_,34098_;8;31,34;9,664188446;48,69715353
Polizeipräsidium Einsatz;Göpp. Polizeipräsidium Einsatz;13305;de:08117:3305;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus";981,981A,983,983A,984,984A,N94,N98;31981_,31981a,31983_,31983a,31984_,31984a,34094_,34098_;8;31,34;9,670895412;48,68972274
Aussiedlerhöfe;Heiningen Aussiedlerhöfe;13306;de:08117:3306;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";981,981A,983,983A,984,984A,N94,N98;31981_,31981a,31983_,31983a,31984_,31984a,34094_,34098_;8;31,34;9,657939563;48,67631763
Adler;Heiningen Adler;13307;de:08117:3307;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";981,981A,983,983A,984,984A,N94,N98;31981_,31981a,31983_,31983a,31984_,31984a,34094_,34098_;8;31,34;9,646873085;48,66468098
Kirchstraße;Heiningen Kirchstr.;13308;de:08117:3308;08117030;Heiningen;Heiningen (GP);GP;5,6;Bus;981,983,983A,984;31981_,31983_,31983a,31984_;4;31;9,649840462;48,66212834
Uhlandstraße;Heiningen Uhlandstraße;13309;de:08117:3309;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";983A,984,984A,N98;31983a,31984_,31984a,34098_;4;31,34;9,644151604;48,66418366
Mörikestraße;Heiningen Mörikestraße;13310;de:08117:3310;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";983A,984,984A,N98;31983a,31984_,31984a,34098_;4;31,34;9,639357579;48,66082018
Breitestraße;Heiningen Breitestr.;13311;de:08117:3311;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";983A,984,984A,N98;31983a,31984_,31984a,34098_;4;31,34;9,646217804;48,66015238
Friedhof;Heiningen Friedhof;13312;de:08117:3312;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";981,983A,984,984A,N94;31981_,31983a,31984_,31984a,34094_;5;31,34;9,651875613;48,65783634
Alter Bahnhof;Heiningen Alter Bahnhof;13313;de:08117:3320;08117030;Heiningen;Heiningen (GP);GP;5,6;"Bus;Nachtbus";981,981A,983,983A,N98;31981_,31981a,31983_,31983a,34098_;5;31,34;9,65058596;48,65782565
Frühlingstraße;Eschenbach Frühlingstr.;13314;de:08117:3314;08117020;Eschenbach;Eschenbach;GP;6,5;Bus;983A,984,984A;31983a,31984_,31984a;3;31;9,671115026;48,6592545
Gemeindehaus;Eschenbach Gemeindehaus;13315;de:08117:3315;08117020;Eschenbach;Eschenbach;GP;6,5;Bus;983A,984,984A;31983a,31984_,31984a;3;31;9,669591444;48,6559361
Backhaus;Eschenbach Backhaus;13316;de:08117:3316;08117020;Eschenbach;Eschenbach;GP;6,5;Bus;984A;31984a;1;31;9,670132944;48,65275855
Grundschule;Eschenbach Grundschule;13317;de:08117:3317;08117020;Eschenbach;Eschenbach;GP;6,5;Bus;983A,984,984A;31983a,31984_,31984a;3;31;9,670627401;48,65422147
