#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Herrenwiesenweg;Neckarhalde Herrenwiesenweg;4121;de:08116:4121;08116019;Esslingen am Neckar;Neckarhalde;ES;2;"Bus;Nachtbus";109,132,N12;31109_,31132_,34012_;3;31,34;9,292812893;48,7475
Panorama-Klinik;Essl.(N) Panorama-Klinik;4122;de:08116:4122;08116019;Esslingen am Neckar;Esslingen (N);ES;2;"Bus;Nachtbus";110,N12;31110_,34012_;2;31,34;9,319472898;48,7423573
Burg;Esslingen (N) Burg;4123;de:08116:4123;08116019;Esslingen am Neckar;Esslingen (N);ES;2;"Bus;Nachtbus";110,N12;31110_,34012_;2;31,34;9,311722182;48,74663199
Hohenkreuz;Hohenkreuz;4124;de:08116:4124;08116019;Esslingen am Neckar;Hohenkreuz;ES;2;"Bus;Nachtbus";110,N12;31110_,34012_;2;31,34;9,312901848;48,75046856
Wäldenbronn Kreuzung;Hkr. Wäldenbronn Kreuzung;4125;de:08116:4125;08116019;Esslingen am Neckar;Hohenkreuz;ES;2;"Bus;Nachtbus";110,111,132,N12;31110_,31111_,31132_,34012_;4;31,34;9,316502536;48,75215828
Langer Weg;Wäldenbr. Langer Weg;4126;de:08116:4126;08116019;Esslingen am Neckar;Wäldenbronn;ES;2;"Bus;Nachtbus";110,132,N12;31110_,31132_,34012_;3;31,34;9,318171104;48,75365541
Brunnen;Wäldenbronn Brunnen;4127;de:08116:4127;08116019;Esslingen am Neckar;Wäldenbronn;ES;2;"Bus;Nachtbus";110,132,N12;31110_,31132_,34012_;3;31,34;9,317090934;48,75704853
Brückle;Wäldenbronn Brückle;4128;de:08116:4128;08116019;Esslingen am Neckar;Wäldenbronn;ES;2;"Bus;Nachtbus";110,132,N12;31110_,31132_,34012_;3;31,34;9,317202585;48,75965603
Obertalweg;Wäldenbronn Obertalweg;4129;de:08116:4129;08116019;Esslingen am Neckar;Wäldenbronn;ES;2;"Bus;Nachtbus";110,132,N12;31110_,31132_,34012_;3;31,34;9,316066176;48,76278851
Flandernstraße;Sankt Bernhardt Flandernstr.;4130;de:08116:4130;08116019;Esslingen am Neckar;St. Bernhardt;ES;2;Bus;111,132,X20;31111_,31132_,35X20_;3;31,35;9,325791345;48,74385031
Eugen-Bolz-Straße;Sankt Bernhardt E.-Bolz-Straße;4131;de:08116:4131;08116019;Esslingen am Neckar;St. Bernhardt;ES;2;Bus;111,132;31111_,31132_;2;31;9,324202468;48,74626477
Kirchackerstraße;Sankt Bernhardt Kirchackerstr.;4132;de:08116:4132;08116019;Esslingen am Neckar;St. Bernhardt;ES;2;"Bus;Nachtbus";111,132,N12;31111_,31132_,34012_;3;31,34;9,321150657;48,74959154
Bärenwiesen;Serach Bärenwiesen;4133;de:08116:4133;08116019;Esslingen am Neckar;Serach;ES;2;"Bus;Nachtbus";111,132,N12;31111_,31132_,34012_;3;31,34;9,31201524;48,75441864
Seracher Straße;Serach Seracher Straße;4134;de:08116:4134;08116019;Esslingen am Neckar;Serach;ES;2;"Bus;Nachtbus";111,132,N12;31111_,31132_,34012_;3;31,34;9,30890752;48,75549713
Schulzentrum Nord;Serach Schulzentr. Nord;4135;de:08116:4135;08116019;Esslingen am Neckar;Serach;ES;2;"Bus;Nachtbus";111,132,N12;31111_,31132_,34012_;3;31,34;9,304967714;48,75619107
Alte Talstraße;Sankt Bernhardt Alte Talstraße;4136;de:08116:4136;08116019;Esslingen am Neckar;St. Bernhardt;ES;2;Nachtbus;N12;34012_;1;34;9,321888643;48,750165
Talstraße;Sankt Bernhardt Talstraße;4137;de:08116:4137;08116019;Esslingen am Neckar;St. Bernhardt;ES;2;Bus;110;31110_;1;31;9,322084251;48,75310497
Volker-Böhringer-Weg;Wiflingsh. Volker-Böhringer-Weg;4139;de:08116:4139;08116019;Esslingen am Neckar;Wiflingshausen;ES;2;Bus;110;31110_;1;31;9,330197495;48,75432292
Hubertusweg;Wiflingsh. Hubertusweg;4140;de:08116:4140;08116019;Esslingen am Neckar;Wiflingshausen;ES;2;Bus;110;31110_;1;31;9,332270794;48,75525217
Waldackerweg;Wiflingsh. Waldackerweg;4141;de:08116:4141;08116019;Esslingen am Neckar;Wiflingshausen;ES;2;Bus;110;31110_;1;31;9,334695914;48,75590158
Adenauerbrücke (oben);Oberessl. Adenauerbr. (oben);4143;de:08116:4143;08116019;Esslingen am Neckar;Oberesslingen;ES;2;"Bus;Nachtbus";113,N13;31113_,34013_;2;31,34;9,320705596;48,72883822
See;Berkheim See;4144;de:08116:4144;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,138,N13;31113_,31138_,34013_;3;31,34;9,317711331;48,72176946
Schaichhofstraße;Weil i. S. Schaichhofstr.;4145;de:08115:4145;08115051;Weil im Schönbuch;Weil im Schönbuch;BB;4,5;"Bus;Nachtbus";756,760A,N74;31756_,31760a,34074_;3;31,34;9,038514307;48,6186534
Firma Festo;Berkheim Firma Festo;4146;de:08116:4146;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,N13;31113_,34013_;2;31,34;9,308292945;48,71957395
Nellinger Straße;Berkheim Nellinger Straße;4147;de:08116:4147;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,N13;31113_,34013_;2;31,34;9,315167077;48,71915965
Gemeindezentrum;Berkh. Gemeindezentrum;4148;de:08116:4148;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,138,N13;31113_,31138_,34013_;3;31,34;9,318654305;48,71829575
Am Wiesengrund;Berkh. Am Wiesengrund;4149;de:08116:4149;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,138,N13;31113_,31138_,34013_;3;31,34;9,321844712;48,71566106
Jakobstraße;Berkheim Jakobstraße;4151;de:08116:4151;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,138,N13;31113_,31138_,34013_;3;31,34;9,326844212;48,71754438
Kronenstraße;Berkheim Kronenstraße;4152;de:08116:4152;08116019;Esslingen am Neckar;Berkheim;ES;2;"Bus;Nachtbus";113,138,N13;31113_,31138_,34013_;3;31,34;9,322439634;48,71943624
Kiebitzweg;Kirchheim (T) Kiebitzweg;4153;de:08116:4153;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";163,164,RT163;31163_,31164_,50163_;3;31,5;9,471911052;48,65462351
Industriegebiet;Aichschieß Industriegeb.;4154;de:08116:4154;08116076;Aichwald;Aichschieß;ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,384692981;48,74560181
Kreuzung;Aichschieß Kreuzung;4155;de:08116:4155;08116076;Aichwald;Aichschieß;ES;3;"Bus;Nachtbus";107,114,114A,149,N14;31107_,31114_,31114a,31149_,34014_;5;31,34;9,390848341;48,74680404
Kreisverkehr;Schanbach Kreisverkehr;4156;de:08116:4156;08116076;Aichwald;Schanbach;ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,380072613;48,75856627
Schule;Schanbach Schule;4157;de:08116:4157;08116076;Aichwald;Schanbach;ES;3;Bus;114,114A;31114_,31114a;2;31;9,386123059;48,76008383
Rössle;Schanbach Rössle;4159;de:08116:4159;08116076;Aichwald;Schanbach;ES;3;Bus;114;31114_;1;31;9,373495149;48,75928921
Lobenroter Hof;Schanb. Lobenroter Hof;4160;de:08116:4160;08116076;Aichwald;Schanbach;ES;3;Bus;114;31114_;1;31;9,363478719;48,76786409
Lobenrot Ort;Lobenrot Ort;4161;de:08116:4161;08116076;Aichwald;Lobenrot;ES;3;Bus;114;31114_;1;31;9,355430898;48,77055098
Siedlung;Schanbach Siedlung;4162;de:08116:4162;08116076;Aichwald;Schanbach;ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,383294402;48,76013825
Krummhardt Abzweig;Aichschieß Krummhardt Abzw.;4163;de:08116:4163;08116076;Aichwald;Aichschieß;ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,3886906;48,76144203
Krummhardt Ort;Krummhardt Ort;4164;de:08116:4164;08116076;Aichwald;Krummhardt;ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,396816397;48,76215168
Kronenstraße;Aichelberg Kronenstraße;4165;de:08116:4165;08116076;Aichwald;Aichelberg (Aichwald);ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,391751487;48,77722232
Rathaus;Aichelberg Rathaus;4166;de:08116:4166;08116076;Aichwald;Aichelberg (Aichwald);ES;3;"Bus;Nachtbus";107,114,N14;31107_,31114_,34014_;3;31,34;9,391723704;48,778895
Holl;Aichelberg Holl;4167;de:08116:4167;08116076;Aichwald;Aichelberg (Aichwald);ES;3;"Bus;Nachtbus";107,114,114A,N14;31107_,31114_,31114a,34014_;4;31,34;9,391396555;48,78231322
Keplerstraße;Oberessl. Keplerstraße;4168;de:08116:4168;08116019;Esslingen am Neckar;Oberesslingen;ES;2;Bus;114A,115,138;31114a,31115_,31138_;3;31;9,333451471;48,72819948
Körschstraße;Zell Körschstraße;4169;de:08116:4169;08116019;Esslingen am Neckar;Zell (Esslingen);ES;2,3;Bus;102,103,114A,115,138;31102_,31103_,31114a,31115_,31138_;5;31;9,360623593;48,72255116
Berufliches Schulzentrum;Zell Berufliches Schulzentrum;4170;de:08116:4170;08116019;Esslingen am Neckar;Zell (Esslingen);ES;2,3;Bus;102,103,104,114A,115,138;31102_,31103_,31104_,31114a,31115_,31138_;6;31;9,354708457;48,72212892
Katzenkopf;Wäldenbronn Katzenkopf;4171;de:08116:4171;08116019;Esslingen am Neckar;Wäldenbronn;ES;2;Bus;X20;35X20_;1;35;9,323284633;48,76847863
Johannesstraße;Zell Johannesstraße;4173;de:08116:4173;08116019;Esslingen am Neckar;Zell (Esslingen);ES;2,3;Bus;102,103,138;31102_,31103_,31138_;3;31;9,365136904;48,72456922
Eichendorffstraße;Zollberg Eichendorffstr.;4174;de:08116:4174;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;118;31118_;1;31;9,298831242;48,72825867
Eichendorffschule;Zollb. Eichendorffschule;4175;de:08116:4175;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;118;31118_;1;31;9,293834605;48,72686872
Braungartweg;Zollberg Braungartweg;4176;de:08116:4176;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;118;31118_;1;31;9,292617221;48,72554993
Zollernplatz;Zollberg Zollernplatz;4177;de:08116:4177;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;113,118;31113_,31118_;2;31;9,303900588;48,72813748
Zollhausweg;Zollberg Zollhausweg;4178;de:08116:4178;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;118;31118_;1;31;9,300904487;48,72490807
Realschule;Zollberg Realschule;4179;de:08116:4179;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;113,118;31113_,31118_;2;31;9,305498003;48,72706314
Jusiweg;Zollberg Jusiweg;4180;de:08116:4180;08116019;Esslingen am Neckar;Zollberg;ES;2;Bus;113,118;31113_,31118_;2;31;9,303062626;48,72441681
Backhaus;Dachtel Backhaus;4181;de:08115:4181;08115001;Aidlingen;Dachtel;BB;4,5;"Bus;Nachtbus;Ruftaxi";744,763,763A,764,N75,RT763;31744_,31763_,31763a,31764_,34075_,50763_;6;31,34,50;8,855023989;48,67813635
Schaichhofsiedlung;Weil i. S. Schaichhofsiedlung;4185;de:08115:4185;08115051;Weil im Schönbuch;Weil im Schönbuch;BB;4,5;"Bus;Nachtbus;Ruftaxi";760A,N74,RT46;31760a,34074_,51046_;3;31,34,51;9,030294274;48,61747787
Stuttgarter Straße/Eichholz;Maich. Stuttg. Str./Eichholz;4186;de:08115:4186;08115045;Sindelfingen;Maichingen;BB;3;Bus;748;31748_;1;31;8,999153235;48,73467263
Bergsiedlung;Dachtel Bergsiedlung;4189;de:08115:4189;08115001;Aidlingen;Dachtel;BB;4,5;"Bus;Ruftaxi";744,763,763A,764,RT763;31744_,31763_,31763a,31764_,50763_;5;31,5;8,852962408;48,68197356
Bergsiedlung (Keplerstraße);Dachtel Bergsiedl. (Keplerstr);4190;de:08115:4190;08115001;Aidlingen;Dachtel;BB;4,5;Bus;744,763,763A;31744_,31763_,31763a;3;31;8,848423297;48,68308277
Friedrich-Schiller-Schule;Neuh.(F) F.-Schiller-Schule;4191;de:08116:4191;08116047;Neuhausen auf den Fildern;Neuhausen (F);ES;2,3;Bus;120,817;31120_,31817_;2;31;9,283385099;48,67427082
Troppel;Weil i. S. Troppel;4192;de:08115:4192;08115051;Weil im Schönbuch;Weil im Schönbuch;BB;4,5;"Bus;Nachtbus;R-Bahn;Ruftaxi";RB46,756,760A,N74,RT46;12046_,31756_,31760a,34074_,51046_;5;12,31,34,51;9,043439;48,62008145
Holzgerlingen;Holzgerlingen;4193;de:08115:4193;08115024;Holzgerlingen;Holzgerlingen;BB;4;"Bus;Nachtbus;R-Bahn;Ruftaxi";RB46,751,752,756,N74,RT46;12046_,31751_,31752_,31756_,34074_,51046_;6;12,31,34,51;9,007213172;48,63677987
Schule;Dätzingen Schule;4194;de:08115:4194;08115054;Grafenau;Dätzingen;BB;4;Bus;749;31749_;1;31;8,890587447;48,71615974
Döffinger Straße;Darmsheim Döffinger Str.;4195;de:08115:4195;08115045;Sindelfingen;Darmsheim;BB;3;"Bus;Nachtbus";718,732,766,N75;31718_,31732_,31766_,34075_;4;31,34;8,940754676;48,69700625
Theodor-Heuss-Gymnasium;Oberessl. Th.-Heuss-Gymnasium;4197;de:08116:4197;08116019;Esslingen am Neckar;Oberesslingen;ES;2;Bus;114A,132,138,140;31114a,31132_,31138_,31140_;4;31;9,340662795;48,73127175
Herderstraße;Oberesslingen Herderstr.;4200;de:08116:4200;08116019;Esslingen am Neckar;Oberesslingen;ES;2;Bus;101,102,103;31101_,31102_,31103_;3;31;9,332322173;48,73009116
Schorndorfer Straße;Oberessl. Schorndorfer Str.;4201;de:08116:4201;08116019;Esslingen am Neckar;Oberesslingen;ES;2;Bus;102,103,114A,132;31102_,31103_,31114a,31132_;4;31;9,332757266;48,73010789
Schule;Sulzgries Schule;4202;de:08116:4202;08116019;Esslingen am Neckar;Sulzgries;ES;2;Bus;109,132;31109_,31132_;2;31;9,293646243;48,7598085
Ortseingang;Hegensberg Ortseingang;4203;de:08116:4203;08116019;Esslingen am Neckar;Hegensberg;ES;2;Bus;138;31138_;1;31;9,339547515;48,74125667
Hofstraße;Hegensberg Hofstraße;4204;de:08116:4204;08116019;Esslingen am Neckar;Hegensberg;ES;2;Bus;138;31138_;1;31;9,341750752;48,74335438
Sindelfinger Straße;Böblingen Sindelfinger Str.;4205;de:08115:4205;08115003;Böblingen;Böblingen;BB;3;Bus;701,701A,709,724,744,763,763A;31701_,31701a,31709_,31724_,31744_,31763_,31763a;7;31;9,009680202;48,69195794
Abzweig;Holzgerlingen Abzw.;4206;de:08115:4206;08115024;Holzgerlingen;Holzgerlingen;BB;4;Bus;756;31756_;1;31;9,005924151;48,6363663
Hohenzollernstraße;Holzgerlingen Hohenzollernstr.;4208;de:08115:4208;08115024;Holzgerlingen;Holzgerlingen;BB;4;"Bus;Nachtbus";751,752,756,757,N74;31751_,31752_,31756_,31757_,34074_;5;31,34;9,012235635;48,64573604
Rathaus;Holzgerlingen Rathaus;4210;de:08115:4210;08115024;Holzgerlingen;Holzgerlingen;BB;4;"Bus;Nachtbus;Ruftaxi";751,752,756,757,N74,RT46;31751_,31752_,31756_,31757_,34074_,51046_;6;31,34,51;9,011745579;48,63951322
Kirchheim (T);Kirchheim (T);4211;de:08116:4211;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;R-Bahn;Ruftaxi;S-Bahn";S1,RB64,144,161,163,164,165,165A,166,173,173A,175,175A,176,177,177A,914,914A,X10,RT161,RT163,RT165,RT176,RT177,RT17;10001_,11064_,31144_,31161_,31163_,31164_,31165_,31165a,31166_,31173_,31173a,31175_,31175a,31176_,31177_,31177a,31914_,31914a,35X10_,50161_,50163_,50165_,50176_,50177_,51017_;25;10,11,31,35,50,51;9,443872422;48,64415981
Marktplatz;Kirchheim (T) Marktplatz;4213;de:08116:4213;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";144,163,164,165,914,914A,RT163,RT165,RT16,RT17;31144_,31163_,31164_,31165_,31914_,31914a,50163_,50165_,51016_,51017_;10;31,50,51;9,449312655;48,64858104
Brahmsstraße;Kirchheim (T) Brahmsstraße;4215;de:08116:4215;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";144,165,RT165;31144_,31165_,50165_;3;31,5;9,457597868;48,65980711
Kirchheimer Straße;Notzingen Kirchheimer Str.;4216;de:08116:4216;08116048;Notzingen;Notzingen;ES;4,5;"Bus;Ruftaxi";144,165,RT165;31144_,31165_,50165_;3;31,5;9,457812016;48,66994989
Wellinger Straße;Notz. Wellinger Straße;4217;de:08116:4217;08116048;Notzingen;Notzingen;ES;4,5;"Bus;Nachtbus;Ruftaxi";144,165,168,N11,RT165;31144_,31165_,31168_,34011_,50165_;5;31,34,50;9,459121254;48,67059214
Rathaus;Notzingen Rathaus;4218;de:08116:4218;08116048;Notzingen;Notzingen;ES;4,5;"Bus;Nachtbus;Ruftaxi";144,147,165,168,N11,RT165;31144_,31147_,31165_,31168_,34011_,50165_;6;31,34,50;9,463968949;48,6721374
Hochdorfer Straße;Notzingen Hochdorfer Str.;4219;de:08116:4219;08116048;Notzingen;Notzingen;ES;4,5;"Bus;Nachtbus;Ruftaxi";144,147,168,N11,RT165;31144_,31147_,31168_,34011_,50165_;5;31,34,50;9,457302788;48,67068931
Talbachbrücke;Hochdorf Talbachbrücke;4220;de:08116:4220;08116027;Hochdorf;Hochdorf (ES);ES;4,5;Bus;144,147,147A,168;31144_,31147_,31147a,31168_;4;31;9,464663345;48,69593788
Roßwälder Straße;Hochdorf Roßwälder Str.;4221;de:08116:4221;08116027;Hochdorf;Hochdorf (ES);ES;4,5;"Bus;Nachtbus";147,147A,N11;31147_,31147a,34011_;3;31,34;9,46810569;48,69361285
Rathaus;Hochdorf Rathaus;4222;de:08116:4222;08116027;Hochdorf;Hochdorf (ES);ES;4,5;"Bus;Nachtbus";144,147,147A,168,N11;31144_,31147_,31147a,31168_,34011_;5;31,34;9,462284211;48,69276411
Weberei;Reichenbach (F) Weberei;4223;de:08116:4223;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;Bus;147A;31147a;1;31;9,455221634;48,70637997
Reichenbach (F);Reichenbach (F);4224;de:08116:4224;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;R-Bahn";RE5,MEX16,142,144,148,168,262;11005_,11016_,31142_,31144_,31148_,31168_,31262_;7;11,31;9,464448253;48,70797974
Ulmer Straße;Plochingen Ulmer Str.;4225;de:08116:4225;08116056;Plochingen;Plochingen;ES;3;"Bus;Nachtbus";147,147A,148,149,262,N11;31147_,31147a,31148_,31149_,31262_,34011_;6;31,34;9,42452564;48,70598475
Kreissparkasse;Plochingen Kreissparkasse;4226;de:08116:4226;08116056;Plochingen;Plochingen;ES;3;"Bus;Nachtbus";107,141,147,147A,148,149,262,N11;31107_,31141_,31147_,31147a,31148_,31149_,31262_,34011_;8;31,34;9,414976793;48,71125323
Eisenbahnstraße;Plochingen Eisenbahnstraße;4227;de:08116:4227;08116056;Plochingen;Plochingen;ES;3;"Bus;Nachtbus";107,141,147,147A,149,262,N11;31107_,31141_,31147_,31147a,31149_,31262_,34011_;7;31,34;9,414427958;48,71060775
Stadtplatz;Wernau (N) Stadtplatz;4228;de:08116:4228;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146;31145_,31146_;2;31;9,421744766;48,6886484
Kapelle;Plochingen Kapelle;4229;de:08116:4229;08116056;Plochingen;Plochingen;ES;3;Bus;107,141,149;31107_,31141_,31149_;3;31;9,41812923;48,70961417
Panoramastraße;Plochingen Panoramastraße;4230;de:08116:4230;08116056;Plochingen;Plochingen;ES;3;Bus;107,141,149;31107_,31141_,31149_;3;31;9,423278887;48,70960433
Beethovenstraße;Plochingen Beethovenstraße;4231;de:08116:4231;08116056;Plochingen;Plochingen;ES;3;Bus;107,141,149;31107_,31141_,31149_;3;31;9,42696655;48,7086375
Lettenäcker;Plochingen Lettenäcker;4232;de:08116:4232;08116056;Plochingen;Plochingen;ES;3;Bus;107,141,149;31107_,31141_,31149_;3;31;9,433005815;48,70780561
Stumpenhof;Plochingen Stumpenhof;4233;de:08116:4233;08116056;Plochingen;Plochingen;ES;3;Bus;107,141,149;31107_,31141_,31149_;3;31;9,431114704;48,71545634
Ortsmitte;Reichenb.(F) Ortsmitte;4234;de:08116:4234;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;Nachtbus";142,147A,148,262,N11;31142_,31147a,31148_,31262_,34011_;5;31,34;9,462162643;48,70913999
Schulzentrum;Reichenb.(F) Schulzentrum;4235;de:08116:4235;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;Nachtbus";142,147A,148,262,N11;31142_,31147a,31148_,31262_,34011_;5;31,34;9,457625582;48,71076778
Schönblick;Reichenb.(F) Schönblick;4236;de:08116:4236;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;Nachtbus";142,148,N11;31142_,31148_,34011_;3;31,34;9,451738147;48,71034142
Albstraße;Reichenbach (F) Albstraße;4237;de:08116:4237;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;Nachtbus";142,148,N11;31142_,31148_,34011_;3;31,34;9,447773652;48,71069863
Hochhaus;Reichenbach (F) Hochhaus;4238;de:08116:4238;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;Nachtbus";142,148,N11;31142_,31148_,34011_;3;31,34;9,443680854;48,71346619
Risshalde;Reichenbach (F) Risshalde;4240;de:08116:4240;08116058;Reichenbach an der Fils;Reichenbach (F);ES;3,4;"Bus;Nachtbus";142,148,N11;31142_,31148_,34011_;3;31,34;9,475278153;48,71527341
Wernau (N);Wernau (N);4241;de:08116:4241;08116072;Wernau (Neckar);Wernau (N);ES;3,4;"Bus;R-Bahn;S-Bahn";S1,IRE6,MEX12,MEX18,145,146,168;10001_,11006_,11012_,11018_,11080_,31145_,31146_,31168_;8;10,11,31;9,413654423;48,69417221
Dorotheenweg;Wernau (N) Dorotheenweg;4244;de:08116:4244;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146;31145_,31146_;2;31;9,417712706;48,68558766
Marienstraße;Wernau (N) Marienstraße;4245;de:08116:4245;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146;31145_,31146_;2;31;9,418543226;48,68419979
Bergstraße;Wernau (N) Bergstraße;4246;de:08116:4246;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146;31145_,31146_;2;31;9,422692497;48,6850479
Friedrich-List-Straße;Wernau (N) Friedr.-List-Str.;4247;de:08116:4247;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146;31145_,31146_;2;31;9,424111936;48,68265066
Max-Eyth-Straße;Wernau (N) Max-Eyth-Str.;4248;de:08116:4248;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146;31145_,31146_;2;31;9,421131528;48,68189724
Brühl;Wernau (N) Brühl;4249;de:08116:4249;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;168;31168_;1;31;9,426142407;48,6818698
Realschule;Wernau (N) Realschule;4251;de:08116:4251;08116072;Wernau (Neckar);Wernau (N);ES;3,4;Bus;145,146,168;31145_,31146_,31168_;3;31;9,423137562;48,69438951
Pfostenberg;Plochingen Pfostenberg;4255;de:08116:4255;08116056;Plochingen;Plochingen;ES;3;Bus;140;31140_;1;31;9,405598454;48,71937992
Wendlingen (N);Wendlingen (N);4257;de:08116:4257;08116071;Wendlingen am Neckar;Wendlingen (N);ES;4;"Bus;Linientaxi;Nachtbus;R-Bahn;S-Bahn";S1,IRE6,MEX12,MEX18,IRE200,151,152,154,155,184,196,N81,X10,LT151;10001_,11006_,11012_,11018_,11080_,11200_,31151_,31152_,31154_,31155_,31184_,31196_,34081_,35X10_,52151_;15;10,11,31,34,35,52;9,373662098;48,67368917
Stadtmitte;Wendlingen (N) Stadtmitte;4258;de:08116:4258;08116071;Wendlingen am Neckar;Wendlingen (N);ES;4;Bus;154,155;31154_,31155_;2;31;9,378359464;48,67179437
Karpatenweg;Ötlingen Karpatenweg;4263;de:08116:4263;08116033;Kirchheim unter Teck;Ötlingen;ES;5;"Bus;Ruftaxi";161,RT161;31161_,50161_;2;31,5;9,419197363;48,6615901
Römerstraße;Dettingen (T) Römerstr.;4264;de:08116:4264;08116016;Dettingen unter Teck;Dettingen (T);ES;5,6;"Bus;Ruftaxi";175,175A,176,177,RT176,RT177;31175_,31175a,31176_,31177_,50176_,50177_;6;31,5;9,453600834;48,61982377
medius Klinik;Kirchheim (T) medius Klinik;4265;de:08116:4265;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";161,RT161;31161_,50161_;2;31,5;9,441475495;48,65094047
Stadthalle;Kirchheim (T) Stadthalle;4266;de:08116:4266;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";161,166,RT161;31161_,31166_,50161_;3;31,5;9,446007088;48,64924137
Rossmarkt;Kirchheim (T) Rossmarkt;4267;de:08116:4267;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";161,173,173A,175,175A,176,177,177A,RT161,RT176,RT177;31161_,31173_,31173a,31175_,31175a,31176_,31177_,31177a,50161_,50176_,50177_;11;31,5;9,45120381;48,64607369
Polizeiwache;Kirchheim (T) Polizeiwache;4268;de:08116:4268;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";173,173A,175,175A,176,177,177A,RT176,RT177;31173_,31173a,31175_,31175a,31176_,31177_,31177a,50176_,50177_;9;31,5;9,45392743;48,6395793
Eichendorffstraße;Kirchheim (T) Eichendorffstr.;4269;de:08116:4269;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";161,RT161;31161_,50161_;2;31,5;9,459375235;48,6432986
Straßenmeisterei;Kirchheim (T) Straßenmeisterei;4270;de:08116:4270;08116033;Kirchheim unter Teck;Kirchheim (T);ES;5;"Bus;Ruftaxi";173,173A,175,175A,176,177,177A,RT176,RT177;31173_,31173a,31175_,31175a,31176_,31177_,31177a,50176_,50177_;9;31,5;9,452697187;48,63402671
Robert-Bosch-Straße;Dettingen (T) R.-Bosch-Straße;4272;de:08116:4272;08116016;Dettingen unter Teck;Dettingen (T);ES;5,6;"Bus;Ruftaxi";173,173A,175,175A,176,177,177A,RT176,RT177;31173_,31173a,31175_,31175a,31176_,31177_,31177a,50176_,50177_;9;31,5;9,45397399;48,62512796
Hanfstraße;Dettingen (T) Hanfstraße;4273;de:08116:4273;08116016;Dettingen unter Teck;Dettingen (T);ES;5,6;"Bus;Ruftaxi";173,173A,176,177,177A,RT176,RT177;31173_,31173a,31176_,31177_,31177a,50176_,50177_;7;31,5;9,453600834;48,61982377
