Name;Name mit Ort;Steigname;Nummer;Bereich;Steig;Globale ID;Landkreis;GKZ;Gemeinde;Teilort;Tarifzonen;Betriebszweige;Verkehrsmittel;Linien (DIVA);Linien (EFA);Anzahl Linien;X-Koordinate;Y-Koordinate;Sitzmöglichkeit vorhanden?;Wetterschutz vorhanden?;Breite des Bahn/Bussteigs [cm];Höhe über Straße/Schienenoberkante [cm];Höhe der zweiten Ebene über Straße/Schienenoberkante [cm];Stufe Straße zu Einstiegsposition [cm];Bodenindikatoren als Leitstreifen (taktil)
Rathaus;Maichingen Rathaus;eRtg Maichingen;3209;0;4;de:08115:3209:0:4;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31749_;749;1;8,964808011;48,72323804;Nein;Nein;250;15;;Stufenhöhe;Nein
Solo;Maichingen Solo;Rtg Rathaus;3210;0;4;de:08115:3210:0:4;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31704a,31722_,31745_;704,704A,722,745;4;8,973273668;48,72659445;Ja;Ja;150;15;;Stufenhöhe;Nein
Solo;Maichingen Solo;Rtg Landhaus/Waldfriedhof;3210;0;5;de:08115:3210:0:5;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31704a,31722_,31745_;704,704A,722,745;4;8,973273668;48,72659445;Nein;Nein;150;15;;Stufenhöhe;Nein
Waldfriedhof;Maichingen Waldfriedhof;eRtg Landhaussiedlung;3211;0;3;de:08115:3211:0:3;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31745_,31748_;704,745,748;3;8,98890375;48,73131797;Ja;Ja;150;17;;Ebenerdig;Nein
Waldfriedhof;Maichingen Waldfriedhof;eRtg Stuttgarter Straße/Eichholz;3211;0;4;de:08115:3211:0:4;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31745_,31748_;704,745,748;3;8,98890375;48,73131797;Ja;Ja;250;15;;Stufenhöhe;Nein
Waldfriedhof;Maichingen Waldfriedhof;Einbahnstr;3211;0;5;de:08115:3211:0:5;BB;08115045;Sindelfingen;Maichingen;3;50;Ruftaxi;50704_;RT704;1;8,988713437;48,73133594;;;;;;Keine Angabe;
Goldberg;Goldberg;Gleis 1;3212;1;1;de:08115:3212:1:1;BB;08115003;Böblingen;Böblingen;3;10,11;"R-Bahn;S-Bahn";10001_,10011_,11004_,11014_;S1,S11,IRE4,RB14;4;9,019706226;48,6965338;;;250;96;;Keine Angabe;Nein
Goldberg;Goldberg;Gleis 2;3212;2;2;de:08115:3212:2:2;BB;08115003;Böblingen;Böblingen;3;10,11;"R-Bahn;S-Bahn";10001_,10011_,11004_,11014_;S1,S11,IRE4,RB14;4;9,019760548;48,69649782;;;250;96;;Keine Angabe;Nein
Goldberg;Goldberg;eRtg Leipziger Str.;3212;3;3;de:08115:3212:3:3;BB;08115003;Böblingen;Böblingen;3;31,5;"Bus;Ruftaxi";31706_,31708_,31722_,31734_,50708_;706,708,722,734,RT708;5;9,020956285;48,69727995;Ja;Ja;250;15;;Ebenerdig;Nein
Goldberg;Goldberg;eRtg Silberweg;3212;3;4;de:08115:3212:3:4;BB;08115003;Böblingen;Böblingen;3;31,5;"Bus;Ruftaxi";31706_,31708_,31722_,31734_,50708_;706,708,722,734,RT708;5;9,020956285;48,69727995;Ja;Ja;250;15;;Ebenerdig;Nein
