Nummer,Name,Name mit Ort
5003465,Brühlstraße,Möglingen Brühlstraße
5003466,Rotbäumlesfeld,Ludwigsburg Rotbäumlesfeld
5003467,IKEA,Ludwigsburg IKEA
5003468,Altenzentrum,Besigheim Altenzentrum
5003469,Elserring,Besigheim Elserring
5003470,Wiegehalle/Riedbachstraße,Pleidelsh. Wiegeh./Riedb.str.
5003471,Burgstaller Straße,Erbstetten Burgstaller Str.
5003472,Beihinger Straße,Hoheneck Beihinger Str.
5003501,Kirschhaldenweg,Besigheim Kirschhaldenweg
5003502,Ilsfelder Straße,Ottmarsheim Ilsfelder Str.
5003503,Brombergerhöfe,Hohenhasl. Brombergerhöfe
5003504,Wellarium,Steinheim (M) Wellarium
5003505,Schäuber,Besigheim Schäuber
5003506,Sachsenheimer Weg,Besigheim Sachsenheimer Weg
5003507,Rötesiedlung,Burgst.(M) Rötesiedlung
5003508,Murrbrücke,Burgstall (M) Murrbrücke
5003509,Kelterweg,Burgstall (M) Kelterweg
5003510,Ulrichstraße,Besigheim Ulrichstraße
5003511,Neuschöntal,Backnang Neuschöntal
5003513,Ortsmitte,Erbstetten Ortsmitte
5003514,Erdmannhausen,Erdmannhausen
5003515,Rathaus,Erdmannhausen Rathaus
5003516,Turnhalle,Erdmannhausen Turnhalle
5003517,Waage,Erdmannhausen Waage
5003518,Laubert,Erbstetten Laubert
5003519,Beihinger Platz,Freiberg (N) Beihinger Platz
5003521,Stadtzentrum,Freiberg (N) Stadtzentrum
5003522,Geisinger Dorfplatz,Freib.(N) Geis. Dorfplatz
5003523,Bilfinger Straße,Freiberg (N) Bilfinger Str.
5003524,Stuttgarter Straße,Freiberg (N) Stuttgarter Str.
5003525,Harteneckstraße,Freiberg (N) Harteneckstr.
5003526,Marbacher Straße,Kirchberg (M) Marbacher Str.
5003527,Rathaus,Kirchberg (M) Rathaus
5003528,Burgstaller Straße,Kirchberg (M) Burgstaller Str.
5003529,Neuhof,Kirchberg (M) Neuhof
5003530,Schule,Kirchberg (M) Schule
5003531,Dampfkraftwerk,Marb.(N) Dampfkraftwerk
5003532,Erdmannhäuser Straße,Marbach (N) Erdmannh. Str.
5003533,Krankenhaus,Marbach (N) Krankenhaus
5003536,Paul-Gerhardt-Haus,Besigheim Paul-Gerhardt-Haus
5003537,König-Wilhelm-Platz,Marbach (N) König-Wilhelm-Pl.
5003539,Hörnle Dreibronnenstraße,Marb.(N) Hö. Dreibronnenstr.
5003540,Hörnle Hochhaus,Marb.(N) Hörnle Hochhaus
5003541,Hörnle Wiesbadener Platz,Marb.(N) Hö. Wiesbad. Platz
5003544,Eichgraben,Marbach (N) Eichgraben
5003545,Auf den Rüdern,Burgst.(M) Auf den Rüdern
5003546,Abzweig Obertorhöfe,Kirchb.(M) Abzw. Obertorhöfe
5003547,Zwingelh. Großaspacher Straße,Kirchb.(M) Zw. Großasp. Str.
5003548,Zwingelhausen Kirchberger Str.,Kirchb.(M) Zwin. Kirchb. Str.
5003549,Stadionhalle,Marbach (N) Stadionhalle
5003550,Schillerhöhe,Marbach (N) Schillerhöhe
5003551,Bahnhofstraße,Erdmannhausen Bahnhofstr.
5003553,Schulzentrum,Großbottwar Schulzentrum
5003559,Starenweg,Freiberg (N) Starenweg
5003560,Menzelstraße,Freiberg (N) Menzelstraße
5003561,Martinshaus,Besigheim Martinshaus
5003562,Wilhelmstraße,Kleinsachsh. Wilhelmstraße
5003563,Piemonteser Straße,Erdmannhausen Piemonteser Str.
5003564,Schule,Hessigheim Schule
5003565,Hohenzollernstraße,Pleidelsheim Hohenzollernstr.
5003567,Allmandklinge,Hohenhaslach Allmandklinge
5003568,Flattichschule,Münchingen Flattichschule
5003570,Hornbach,Aldingen Hornbach
5003571,Mühle,Aldingen Mühle
5003572,Brückenstraße,Aldingen Brückenstraße
5003573,Remseck,Neckargröningen Remseck
5003574,Berufsschule,Pattonville Berufsschule
5003576,Realschule Remseck,Pattonv. Realsch.
5003577,Hauptstraße,Großbottwar Hauptstraße
5003578,In den Frauengärten,Großb. In den Frauengärten
5003579,Schwieberdinger Straße,Hemmingen Schwieberd. Str.
5003581,Festplatz,Markgröningen Festplatz
5003582,Am Friedhof,Pleidelsheim Am Friedhof
5003585,Oßweiler Weg,Aldingen Oßweiler Weg
5003586,Kindergarten Albstraße,Ald. Kindergarten Albstr.
