Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
5925;Obere Bahnhofstraße;Waiblingen Obere Bahnhofstr.;de:08119:5925;8119079;Waiblingen;Waiblingen;WN;32;"Bus;Nachtbus";201,202,204,205,206,207,209,210,N31;31201_,31202_,31204_,31205_,31206_,31207_,31209_,31210_,34031_;9;31,34;9,305324032;48,82827276
5926;Marktplatz (Böblinger Straße);Sindelf. Marktpl. (Böbl.Str.);de:08115:5926;8115045;Sindelfingen;Sindelfingen;BB;47,48;Bus;701,704,716;31701_,31704_,31716_;3;31;9,00392249;48,70806373
5927;Marktplatz (Rathaus);Sindelf. Marktpl. (Rathaus);de:08115:5927;8115045;Sindelfingen;Sindelfingen;BB;47,48;Bus;84,708,712;30084_,31708_,31712_;3;30,31;9,00420787;48,7085673
5929;Bartenweg;Sindelfingen Bartenweg;de:08115:5929;8115045;Sindelfingen;Sindelfingen;BB;47,48;Bus;704;31704_;1;31;8,978928821;48,72466209
5932;Stadtbahnhof;Vaihingen (E) Stadtbahnhof;de:08118:5932;8118073;Vaihingen (E);Vaihingen (E);LB;56,66;Bus;579;31579_;1;31;8,962547864;48,9329464
5933;Friedhof;Großingersheim Friedhof;de:08118:5933;8118077;Ingersheim;Großingersheim;LB;55;Bus;446;31446_;1;31;9,184498769;48,97106517
5934;Tiefengasse;Großingersheim Tiefengasse;de:08118:5934;8118077;Ingersheim;Großingersheim;LB;55;"Bus;Nachtbus";444,446,446A,567,567A,N44;31444_,31446_,31446a,31567_,31567a,31567q,34044_;7;31,34;9,184118411;48,96053606
5935;Keplerstraße;Rutesheim Keplerstraße;de:08115:5935;8115042;Rutesheim;Rutesheim;BB;46,56;Bus;655;31655_;1;31;8,93500102;48,80928225
5936;Sporthalle Bühl;Rutesh. Sporthalle Bühl;de:08115:5936;8115042;Rutesheim;Rutesheim;BB;46,56;Bus;633,634A,636,653A;31633_,31634a,31636_,31653a;4;31;8,943964476;48,80468284
5937;Widdumhof;Rutesheim Widdumhof;de:08115:5937;8115042;Rutesheim;Rutesheim;BB;46,56;Bus;633,636,655;31633_,31636_,31655_;3;31;8,942271838;48,80871956
