Nummer;Bereich;Steig;Steigname;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
4316;1;3;eRtg Lindenstraﬂe;Bempflingen Rathaus;de:08116:4316:1:3;8116008;Bempflingen;Bempflingen;ES;69;Bus;197;197;31197_;1;31;9,268566203;48,57126878
4316;1;4;eRtg Riederich Stuttg. Straﬂe;Bempflingen Rathaus;de:08116:4316:1:4;8116008;Bempflingen;Bempflingen;ES;69;"Bus;Nachtbus";197,N81;197,N81;31197_,34081_;2;31,34;9,268564723;48,57099001
4317;1;3;eRtg Teckstraﬂe/Austraﬂe/Ziegelwasen;Kirchheim (T) Martinskirche;de:08116:4317:1:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";144,163,165,168,173,177,RT144,RT163,RT165,RT177,RT178,RT17;144,163,165,168,173,177,RT144,RT163,RT165,RT177,RT178,RT17;31144_,31144q,31163_,31165_,31168_,31173_,31177_,50144_,50163_,50165_,50177_,50178_,51017_;13;31,50,51;9,449588874;48,64911938
4319;1;3;Rtg Freibad;Kirchheim (T) Teckstraﬂe;de:08116:4319:1:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,165,173,177,RT163,RT165,RT177;163,165,173,177,RT163,RT165,RT177;31163_,31165_,31173_,31177_,50163_,50165_,50177_;7;31,5;9,455714048;48,64660433
4319;1;4;Rtg Bahnhof;Kirchheim (T) Teckstraﬂe;de:08116:4319:1:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,175,177,RT163,RT177;163,175,177,RT163,RT177;31163_,31175_,31177_,50163_,50177_;5;31,5;9,4551046;48,64674163
4320;0;3;eRtg Fauslerstraﬂe;Kirchheim (T) Stadion;de:08116:4320:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Bus;Ruftaxi";165,173,177,RT177;165,173,177,RT177;31165_,31173_,31177_,50177_;4;31,5;9,468175348;48,64257056
4320;0;4;eRtg Freibad/Kirchheim;Kirchheim (T) Stadion;de:08116:4320:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Bus;Ruftaxi";175,177,RT177;175,177,RT177;31175_,31177_,50177_;3;31,5;9,468175348;48,64257056
4321;0;3;eRtg Etzelweg;Kohlberg Hˆrnlesweg;de:08116:4321:0:3;8116036;Kohlberg;Kohlberg;ES;70;"Bus;Ruftaxi";192,198,199,RT198;192,198,199,RT198;31192_,31198_,31199_,50198_;4;31,5;9,342013144;48,55965292
4321;0;4;eRtg Schule;Kohlberg Hˆrnlesweg;de:08116:4321:0:4;8116036;Kohlberg;Kohlberg;ES;70;"Bus;Ruftaxi";192,198,199,RT198;192,198,199,RT198;31192_,31198_,31199_,50198_;4;31,5;9,342013144;48,55965292
4322;0;3;Rtg Rathaus;Jesingen Wartehalle;de:08116:4322:0:3;8116033;Kirchheim (T);Jesingen;ES;61,71;"Ruftaxi;Bus";165,173,177,RT165,RT177;165,173,177,RT165,RT177;31165_,31173_,31177_,50165_,50177_;5;31,5;9,483643352;48,63958397
4322;0;4;Rtg Fauslerstr.;Jesingen Wartehalle;de:08116:4322:0:4;8116033;Kirchheim (T);Jesingen;ES;61,71;"Ruftaxi;Bus";165,175,177,RT165,RT177;165,175,177,RT165,RT177;31165_,31175_,31177_,50165_,50177_;5;31,5;9,482804091;48,63979432
4323;0;1;Rtg Holzmaden;Jesingen Rathaus;de:08116:4323:0:3;8116033;Kirchheim (T);Jesingen;ES;61,71;"Bus;Ruftaxi";170,173,177,RT177;170,173,177,RT177;31170_,31173_,31177_,50177_;4;31,5;9,488343485;48,6387278
4323;0;2;Rtg Kirchheim von Holzmaden;Jesingen Rathaus;de:08116:4323:0:4;8116033;Kirchheim (T);Jesingen;ES;61,71;"Bus;Ruftaxi";170,175,177,RT177;170,175,177,RT177;31170_,31175_,31177_,50177_;4;31,5;9,489456158;48,63873206
4323;0;3;Rtg Ohmden;Jesingen Rathaus;de:08116:4323:0:5;8116033;Kirchheim (T);Jesingen;ES;61,71;"Ruftaxi;Bus";165,RT165;165,RT165;31165_,50165_;2;31,5;9,489188626;48,63912887
4323;0;4;Rtg Kirchheim von Ohmden;Jesingen Rathaus;de:08116:4323:0:6;8116033;Kirchheim (T);Jesingen;ES;61,71;"Ruftaxi;Bus";165,RT165;165,RT165;31165_,50165_;2;31,5;9,489188626;48,63912887
4324;0;3;eRtg Maierhˆfe;Holzmaden Bf;de:08116:4324:0:3;8116029;Holzmaden;Holzmaden;ES;71;"Bus;Ruftaxi";170,173,177,RT177;170,173,177,RT177;31170_,31173_,31177_,50177_;4;31,5;9,511714819;48,63128822
4324;0;4;eRtg Rathaus;Holzmaden Bf;de:08116:4324:0:4;8116029;Holzmaden;Holzmaden;ES;71;"Bus;Ruftaxi";170,175,177,RT177;170,175,177,RT177;31170_,31175_,31177_,50177_;4;31,5;9,511714819;48,63128822
4325;0;3;Rtg Jahnstraﬂe;Weilheim (T) Schluchtweg;de:08116:4325:0:3;8116070;Weilheim (T);Weilheim (T);ES;71;"Bus;Ruftaxi";175,177,RT177;175,177,RT177;31175_,31177_,50177_;3;31,5;9,539049384;48,62089378
4325;0;4;Rtg KSK;Weilheim (T) Schluchtweg;de:08116:4325:0:4;8116070;Weilheim (T);Weilheim (T);ES;71;"Bus;Ruftaxi";173,177,RT177;173,177,RT177;31173_,31177_,50177_;3;31,5;9,537662698;48,62187147
4327;1;3;eRtg Neidlinger Straﬂe;Weilh.(T) KSK/Kirchheimer Str.;de:08116:4327:1:3;8116070;Weilheim (T);Weilheim (T);ES;71;Bus;174,177;174,177;31174_,31177_;2;31;9,537004406;48,61608327
4328;1;3;eRtg Freiwaldaustraﬂe;Kirchheim (T) Altvaterweg;de:08116:4328:1:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,163,RT161;161,163,RT161;31161_,31163_,50161_;3;31,5;9,458642452;48,63283398
